vehicle_id,timestamp,day_of_week,hour,minute,source_junction,destination_junction,distance,lane_count,vehicle_speed,congestion_score,signal_phase,travel_time
focused_office_flow.4,103,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.75,0.75,0,35.0
focused_return_flow.5,110,5,8,1,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,16.97,0.75,0,37.0
focused_office_flow.5,119,5,8,1,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.0,1.5,0,37.0
46,121,5,8,2,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,14.17,2.25,0,45.0
focused_return_flow.6,130,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.34,2.25,0,43.0
107,138,5,8,2,3691364000,3786062250,84.76,1,13.33,0.0,0,12.0
93,154,5,8,2,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,21.22,0.0,0,13.0
focused_office_flow.6,168,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,16.16,0.75,1,72.0
focused_return_flow.7,170,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,14.32,0.75,1,69.0
focused_return_flow.8,172,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,10.5,2.25,1,56.0
focused_office_flow.7,174,5,8,2,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,7.6,2.25,2,64.0
focused_return_flow.9,177,5,8,2,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,3.73,2.25,2,47.0
109,187,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.22,22.43,2,27.0
116,189,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,15.78,22.43,2,24.0
102,191,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,17.0,54.75,2,7.0
focused_office_flow.8,219,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,3.5,63.79,0,94.0
focused_office_flow.9,222,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.46,3.0,0,83.0
focused_return_flow.10,224,5,8,3,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,8.2,3.0,0,80.0
87,226,5,8,3,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,8.99,3.0,0,82.0
focused_office_flow.10,228,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,5.97,3.0,0,75.0
204,230,5,8,3,3691364000,3786062250,84.76,1,14.16,0.0,0,10.0
focused_return_flow.11,232,5,8,3,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,2.07,18.78,0,73.0
153,235,5,8,3,3691364000,3786062250,84.76,1,10.74,0.75,0,12.0
135,235,5,8,3,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,11.25,18.78,0,26.0
focused_office_flow.11,238,5,8,3,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.72,18.78,1,70.0
150,241,5,8,4,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,7.42,12.72,1,81.0
focused_return_flow.12,243,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,5.57,12.72,0,70.0
focused_return_flow.13,249,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,2.96,12.72,0,62.0
186,252,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,5.44,8.86,0,65.0
focused_office_flow.12,254,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,7.91,8.86,0,72.0
focused_office_flow.13,257,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,10.51,8.86,0,61.0
focused_return_flow.14,260,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,10.79,8.86,0,59.0
focused_office_flow.14,262,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.82,11.88,0,52.0
199,265,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,7.8,11.88,0,53.0
focused_return_flow.15,271,5,8,4,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,6.64,35.1,1,55.0
focused_office_flow.15,273,5,8,4,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,4.77,35.1,2,48.0
145,277,5,8,4,3673163458,3713300768,47.1,1,7.03,0.0,0,55.0
106,277,5,8,4,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.06,35.1,2,57.0
focused_return_flow.16,319,5,8,5,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,3.31,57.64,0,89.0
focused_office_flow.16,322,5,8,5,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,5.88,10.02,0,83.0
focused_return_flow.17,326,5,8,5,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,9.03,10.02,0,82.0
focused_office_flow.17,330,5,8,5,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,10.82,10.02,0,77.0
239,331,5,8,5,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,20.76,1.5,0,13.0
focused_return_flow.18,334,5,8,5,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,13.11,1.5,0,75.0
204,335,5,8,5,3786062250,cluster_3713300554_3713300555_3713300572,2205.12,1,9.73,0.0,0,105.0
224,338,5,8,5,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,11.12,1.5,1,74.0
focused_return_flow.19,340,5,8,5,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,9.73,1.5,1,67.0
focused_office_flow.18,343,5,8,5,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,4.56,7.62,0,75.0
186,348,5,8,5,cluster_3673120471_3778155308_8865441836_8865441838,cluster_3650501033_3650501039,1455.37,1,6.24,0.0,1,96.0
focused_office_flow.19,349,5,8,5,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,3.18,7.62,0,67.0
252,349,5,8,5,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.77,7.62,0,25.0
focused_return_flow.20,354,5,8,5,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,8.25,3.0,0,67.0
focused_office_flow.20,357,5,8,5,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.99,3.0,0,61.0
256,359,5,8,5,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.62,3.0,0,28.0
focused_return_flow.21,359,5,8,5,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,5.88,3.0,0,58.0
264,361,5,8,6,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,7.29,4.5,0,56.0
255,363,5,8,6,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,16.4,4.5,0,25.0
focused_office_flow.21,363,5,8,6,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.73,4.5,0,53.0
281,364,5,8,6,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,15.34,4.5,0,23.0
focused_return_flow.22,366,5,8,6,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,7.15,4.5,0,50.0
focused_office_flow.22,368,5,8,6,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.9,4.5,1,43.0
focused_return_flow.23,370,5,8,6,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,5.48,4.5,1,40.0
focused_office_flow.23,375,5,8,6,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.51,9.29,2,36.0
150,378,5,8,6,cluster_3673120471_3778155308_8865441836_8865441838,cluster_3713300554_3713300555_3713300572,2167.69,1,6.15,0.0,0,137.0
336,384,5,8,6,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,12.49,32.54,2,18.0
364,405,5,8,6,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,16.28,86.5,2,4.0
369,411,5,8,6,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.65,80.18,2,5.0
focused_return_flow.24,419,5,8,6,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,3.03,80.18,0,75.0
focused_office_flow.24,422,5,8,7,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.71,3.75,0,69.0
focused_return_flow.25,424,5,8,7,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,8.08,3.75,0,65.0
focused_office_flow.25,426,5,8,7,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.48,3.75,0,58.0
focused_return_flow.26,428,5,8,7,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,10.0,3.75,0,55.0
focused_office_flow.26,430,5,8,7,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.97,3.75,0,48.0
focused_return_flow.27,433,5,8,7,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,7.69,3.0,0,46.0
292,434,5,8,7,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.59,3.0,0,59.0
focused_office_flow.27,437,5,8,7,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,8.02,3.0,1,41.0
focused_return_flow.28,439,5,8,7,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,10.35,3.0,1,38.0
focused_office_flow.28,445,5,8,7,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,4.31,12.48,0,35.0
295,455,5,8,7,3786062250,cluster_3650501033_3650501039,1912.87,1,14.59,0.0,0,116.0
focused_return_flow.29,457,5,8,7,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,17.41,2.25,0,41.0
focused_office_flow.29,459,5,8,7,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,17.88,2.25,0,34.0
344,462,5,8,7,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,906.97,2,14.95,1.5,0,114.0
372,472,5,8,7,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,906.97,2,15.2,8.95,1,99.0
396,479,5,8,7,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.5,8.95,2,16.0
394,481,5,8,8,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.38,31.42,2,15.0
focused_return_flow.30,489,5,8,8,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,11.25,31.42,2,52.0
focused_return_flow.31,491,5,8,8,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,8.23,32.38,2,47.0
focused_office_flow.30,495,5,8,8,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,4.05,32.38,2,56.0
406,496,5,8,8,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.51,32.38,2,6.0
264,504,5,8,8,cluster_3673120471_3778155308_8865441836_8865441838,cluster_3713300554_3713300555_3713300572,2167.69,1,5.64,0.0,0,143.0
focused_return_flow.32,519,5,8,8,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,1.9,66.05,0,60.0
focused_office_flow.31,522,5,8,8,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,5.94,3.81,0,69.0
430,525,5,8,8,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,15.06,3.81,0,52.0
focused_return_flow.33,527,5,8,8,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,10.16,3.81,0,54.0
focused_office_flow.32,528,5,8,8,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,9.74,3.81,0,60.0
focused_office_flow.33,532,5,8,8,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,12.5,3.0,0,50.0
396,534,5,8,8,cluster_3673120471_3778155308_8865441836_8865441838,3778155323,419.62,2,5.4,0.0,1,55.0
focused_return_flow.34,534,5,8,8,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,11.54,3.0,0,47.0
477,536,5,8,8,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,7.42,3.0,0,50.0
focused_office_flow.34,538,5,8,8,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,9.51,3.0,1,42.0
focused_return_flow.35,541,5,8,9,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,6.05,6.23,1,40.0
484,542,5,8,9,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,19.71,6.23,0,14.0
456,551,5,8,9,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,16.63,3.75,0,14.0
focused_office_flow.35,552,5,8,9,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.05,3.75,0,42.0
443,569,5,8,9,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,13.29,2.25,1,56.0
493,570,5,8,9,cluster_3650501033_3650501039,3673163458,539.16,2,7.82,53.17,0,76.0
418,571,5,8,9,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.31,12.13,1,55.0
486,573,5,8,9,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,15.59,12.13,2,6.0
493,575,5,8,9,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,17.51,12.13,2,5.0
focused_return_flow.36,579,5,8,9,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,15.21,12.13,2,63.0
508,579,5,8,9,3778155323,cluster_13329900199_13329917155_13430754915_13430754916_#3more,470.75,1,25.45,0.0,0,70.0
394,581,5,8,9,cluster_3673120471_3778155308_8865441836_8865441838,cluster_13329900199_13329917155_13430754915_13430754916_#3more,890.37,1,22.21,1.5,0,100.0
396,584,5,8,9,3778155323,cluster_13329900199_13329917155_13430754915_13430754916_#3more,470.75,1,23.17,1.5,0,50.0
focused_return_flow.37,585,5,8,9,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,12.28,8.83,2,42.0
focused_return_flow.38,586,5,8,9,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,12.55,8.83,2,41.0
focused_office_flow.36,592,5,8,9,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,5.07,25.6,2,67.0
518,601,5,8,10,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,17.35,57.52,2,5.0
536,602,5,8,10,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,16.32,57.52,2,4.0
focused_office_flow.37,619,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,2.57,89.82,0,80.0
372,623,5,8,10,cluster_3673120471_3778155308_8865441836_8865441838,cluster_3650501033_3650501039,1455.37,1,9.94,0.0,6,151.0
focused_return_flow.39,625,5,8,10,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,7.9,3.0,0,66.0
focused_office_flow.38,627,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,7.08,3.0,0,74.0
534,629,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.16,3.0,0,68.0
focused_office_flow.39,632,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,7.69,3.0,0,63.0
focused_return_flow.40,636,5,8,10,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,5.38,3.0,0,63.0
focused_office_flow.40,638,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.74,3.0,1,56.0
608,639,5,8,10,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.29,3.0,1,18.0
focused_return_flow.41,640,5,8,10,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,7.08,3.0,1,53.0
focused_office_flow.41,643,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,3.83,16.76,0,47.0
focused_return_flow.42,649,5,8,10,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,2.29,16.76,0,48.0
focused_office_flow.42,652,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.15,2.25,0,42.0
486,653,5,8,10,cluster_3673120471_3778155308_8865441836_8865441838,cluster_13329900199_13329917155_13430754915_13430754916_#3more,448.94,1,6.71,0.0,0,80.0
focused_return_flow.43,657,5,8,10,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,13.34,2.25,0,41.0
focused_office_flow.43,659,5,8,10,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,14.56,2.25,0,34.0
597,659,5,8,10,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,14.74,2.25,0,23.0
focused_return_flow.44,667,5,8,11,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,16.94,2.25,1,37.0
596,669,5,8,11,cluster_13329900199_13329917155_13430754915_13430754916_#3more,cluster_3673120471_3778155308_8865441836_8865441838,465.54,2,12.76,2.25,1,40.0
focused_return_flow.45,687,5,8,11,3778155323,cluster_3673120471_3778155308_8865441836_8865441838,496.86,2,10.17,31.18,2,43.0
focused_office_flow.44,691,5,8,11,3778150947,cluster_3673120471_3778155308_8865441836_8865441838,471.38,2,6.01,55.61,2,52.0
638,695,5,8,11,3673163458,cluster_3673120471_3778155308_8865441836_8865441838,904.72,2,18.38,55.61,2,4.0
